type,link_web,modelo,anio,precio,version,color,combustible,puertas,transmision,motor,tipo de carroceria
0km,https://auto.mercadolibre.com.ar/MLA-1242345004-fiat-cronos-13-16v-2022-okm-automatic-okm-g-_JM#position=23&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Fiat Cronos Cronos Precision 1.8,2022,5.955.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1432336460-jeep-renegade-sport-okm-plan-jeep-100-financiado-_JM#position=24&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Jeep Renegade Sport,2022,8.340.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1389501626-volkswagen-amarok-20-cd-tdi-180cv-comfortline-okm-4x2-man-2-_JM#position=25&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline,2021,9.990.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1387771814-volkswagen-amarok-20-cd-tdi-180cv-4x4-highline-at-okm-2023-_JM#position=26&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Highline Pack At,2021,16.539.732,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1446757734-alaskan-emotion-4-x-2-190-caballos-okm-2023-oferta-mf-_JM#position=27&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Renault Alaskan 2.3 Bit 16v Emotion Mt 4x2,2023,11.710.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1361154785-kia-k2500-pick-up-okm-_JM#position=28&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Kia K2500 2.5 Caja,2023,56.990,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1346898347-kia-k2500-pick-up-okm-2023-_JM#position=29&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Kia K2500 2.5 Caja,2023,29.990,2.5 Caja,Blanco,Diésel,2,Manual,2.5,Light Truck
0km,https://auto.mercadolibre.com.ar/MLA-1417529726-jeep-compass-s-nueva-t270-2023-okm-_JM#position=30&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Jeep Compass 1.3 T270 Limited,2023,30.000.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1446911490-volkswagen-amarok-extremev6-258-cv-al-okm-_JM#position=31&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Volkswagen Amarok 3.0 V6 Extreme,2023,24.850.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1387412212-volkswagen-amarok-extreme-4x4-258cv-okm-_JM#position=32&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Volkswagen Amarok 3.0 V6 Extreme,2023,19.500.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1249116754-peugeot-5008-allure-okm-2023-walter-_JM#position=33&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Peugeot 5008 2.0 Allure Plus Hdi Tiptronic,2022,27.900.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1247678242-peugeot-208-feline-tiptronic-okm-2023-walter-_JM#position=34&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Peugeot 208 1.6l Feline Tiptronic,2022,12.500.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1247483515-peugeot-208-like-okm-2023-walter-_JM#position=35&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Peugeot 208 1.6 Like Pack,2022,6.900.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
