type,link_web,modelo,precio,marca,anio,version,color,combustible,puertas,transmision,motor,vehiculo
usado,https://auto.mercadolibre.com.ar/MLA-1378793883-ford-fiesta-kinetic-titanium-2013-_JM#position=29&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,4.950.000,Ford,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1455067898-ford-focus-20-at-se-plus-2016-_JM#position=30&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Ford Focus Iii 2.0 Se Plus At6,7.650.000,Ford,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1381008619-chevrolet-cruze-20-lt-automatico-4-puertas-2016-vl-_JM#position=31&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Chevrolet Cruze 2.0 Vcdi Sedan Lt At 163cv,7.302.750,Chevrolet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1383928185-chevrolet-tracker-18-ltz-4x2-fwd-nafta-manual-5p-vl-_JM#position=32&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Chevrolet Tracker 1.8 Ltz,7.000.000,Chevrolet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1383903799-audi-q3-5-puertas-20-tfsi-quattro-170c-nafta-manual-2013-vl-_JM#position=33&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Audi Q3 2.0 Quattro Tfsi 170cv,10.001.250,Audi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1383924843-peugeot-308-16-allure-nav-sf-_JM#position=34&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Peugeot 308 1.6 Allure Nav 115cv,5.300.000,Peugeot,2014,1.6 Allure Nav 115cv,Gris,Nafta,5,Manual,1.6,Hatchback
usado,https://auto.mercadolibre.com.ar/MLA-1491205866-camioneta-dodge-journey-sxt-24l-4x2-gris-plata-2017-usada-_JM#position=35&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,"Dodge Journey 2.4 Sxt 170cv (techo, Dvd, Nav)",21.600,Dodge,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1470481330-amarok-extreme-v6-30-usada-4motion-2021-2022-2023-_JM#position=36&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Volkswagen Amarok 3.0 V6 Extreme,46.000,Volkswagen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1380851957-chevrolet-sonic-16-ltz-at-4-puertas-2013-_JM#position=37&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Chevrolet Sonic 1.6 Ltz At,4.900.000,Chevrolet,2013,1.6 Ltz At,Plateado,Nafta,4,Automática,1.6,Sedán
usado,https://auto.mercadolibre.com.ar/MLA-1478727442-audi-q2-2022-2021-2023-a1-sportback-a3-sedan-q3-0km-usado-q5-_JM#position=38&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Audi Q2 1.4 35 Tfsi Sport 150 Cv,48.900,Audi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1473830048-audi-q3-usada-2013-20-quattro-tfsi-170cv-_JM#position=39&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Audi Q3 2.0 Quattro Tfsi 170cv,16.800,Audi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1476000152-chevrolet-onix-14-plb-_JM#position=40&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Chevrolet Onix 1.4 Lt Mt 98cv,5.098.000,Chevrolet,2016,1.4 Lt Mt 98cv,Gris,Nafta,5,Manual,1.4,Hatchback
usado,https://auto.mercadolibre.com.ar/MLA-1383105747-ranger-22-tdi-dc-4x2-l16-x-cc-_JM#position=41&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Ford Ranger 2.2 Cd Xl Tdci 125cv 4x2,10.900.000,Ford,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
